trecho_id,decliv_media_pct,decliv_max_pct,frac_plana,frac_ingreme,decliv_media_graus
RO-ARQ-0189,3.41,5.82,0.0,0.0,1.96
RO-ARQ-0190,2.95,5.62,0.261,0.0,1.69
RO-ARQ-0191,5.06,8.85,0.083,0.167,2.9
RO-ARQ-0192,6.37,8.98,0.0,0.333,3.65
RO-ARQ-0193,2.23,4.96,0.525,0.0,1.27
RO-ARQ-0194,2.37,5.06,0.469,0.0,1.36
RO-ARQ-0195,2.55,5.16,0.413,0.0,1.46
RO-ARQ-0196,3.14,4.32,0.0,0.0,1.8
RO-ARQ-0197,5.36,10.54,0.0,0.182,3.07
RO-ARQ-0198,3.56,8.72,0.2,0.08,2.04
RO-ARQ-0199,3.46,7.63,0.176,0.0,1.98
RO-ARQ-0200,2.07,3.09,0.417,0.0,1.19
RO-ARQ-0201,2.84,5.51,0.318,0.0,1.63
RO-ARQ-0202,3.51,6.3,0.125,0.0,2.01
RO-ARQ-0203,3.09,5.42,0.2,0.0,1.77
RO-ARQ-0204,3.1,5.01,0.107,0.0,1.77
RO-ARQ-0205,6.06,7.63,0.0,0.0,3.47
RO-ARQ-0206,1.69,3.03,0.611,0.0,0.97
RO-ARQ-0207,1.67,3.68,0.69,0.0,0.96
RO-ARQ-0208,1.93,3.31,0.5,0.0,1.1
RO-ARQ-0209,3.63,6.09,0.077,0.0,2.08
RO-ARQ-0210,3.71,7.57,0.062,0.0,2.12
RO-ARQ-0211,2.11,2.81,0.5,0.0,1.21
RO-ARQ-0212,3.64,6.09,0.231,0.0,2.08
RO-ARQ-0213,3.14,6.97,0.273,0.0,1.8
RO-ARQ-0214,3.55,4.34,0.0,0.0,2.04
RO-ARQ-0215,2.1,4.23,0.5,0.0,1.2
RO-ARQ-0216,2.05,3.43,0.444,0.0,1.18
RO-ARQ-0217,2.56,4.65,0.286,0.0,1.46
RO-ARQ-0218,1.78,3.63,0.633,0.0,1.02
RO-ARQ-0219,2.47,5.03,0.312,0.0,1.41
RO-ARQ-0220,2.79,5.05,0.324,0.0,1.6
RO-ARQ-0221,2.15,5.78,0.548,0.0,1.23
RO-ARQ-0222,4.47,5.78,0.0,0.0,2.56
RO-ARQ-0223,2.81,5.78,0.357,0.0,1.61
RO-ARQ-0224,2.84,5.24,0.333,0.0,1.63
RO-ARQ-0225,2.82,4.14,0.167,0.0,1.62
RO-ARQ-0226,2.43,3.97,0.278,0.0,1.39
